name,position,minutes,points,date
Eric Paschall,F,21,6,2020-12-22
Andrew Wiggins,F,31,13,2020-12-22
James Wiseman,C,24,19,2020-12-22
Stephen Curry,G,30,20,2020-12-22
Kelly Oubre,F-G,25,6,2020-12-22
Brad Wanamaker,G,21,3,2020-12-22
Jordan Poole,G,17,2,2020-12-22
J. Toscano-Anderson,F,13,4,2020-12-22
Damion Lee,G-F,12,3,2020-12-22
Marquese Chriss,F,12,9,2020-12-22
Kevon Looney,F,11,4,2020-12-22
Kent Bazemore,G-F,11,2,2020-12-22
Mychal Mulder,G,6,8,2020-12-22
Nico Mannion,G,0,0,2020-12-22
Draymond Green,F,0,0,2020-12-22
Klay Thompson,G,0,0,2020-12-22
Alen Smailagic,F,0,0,2020-12-22
Kevin Durant,F,24,22,2020-12-22
Joe Harris,G-F,20,10,2020-12-22
DeAndre Jordan,C,17,4,2020-12-22
Kyrie Irving,G,25,26,2020-12-22
S. Dinwiddie,G,19,9,2020-12-22
Caris LeVert,G,24,20,2020-12-22
Jarrett Allen,C,19,8,2020-12-22
Landry Shamet,G,19,6,2020-12-22
Jeff Green,F,17,7,2020-12-22
Taurean Prince,F,16,1,2020-12-22
Bruce Brown,G-F,7,2,2020-12-22
Reggie Perry,F-C,7,2,2020-12-22
Rodions Kurucs,F,6,3,2020-12-22
T. Luwawu-Cabarrot,G-F,6,5,2020-12-22
Tyler Johnson,G,5,0,2020-12-22
Nicolas Claxton,F-C,0,0,2020-12-22
Chris Chiozza,G,0,0,2020-12-22
Nicolas Batum,G-F,28,3,2020-12-22
Kawhi Leonard,F,34,26,2020-12-22
Serge Ibaka,F,20,15,2020-12-22
P. Beverley,G,22,10,2020-12-22
Paul George,F,35,33,2020-12-22
Ivica Zubac,C,26,11,2020-12-22
Lou Williams,G,25,11,2020-12-22
Luke Kennard,G,21,4,2020-12-22
P. Patterson,F,19,3,2020-12-22
Reggie Jackson,G,3,0,2020-12-22
Terance Mann,G-F,1,0,2020-12-22
M. Kabengele,F-C,0,0,2020-12-22
Amir Coffey,G-F,0,0,2020-12-22
Jay Scrubb,G,0,0,2020-12-22
Marcus Morris,F,0,0,2020-12-22
Daniel Oturu,C,0,0,2020-12-22
Anthony Davis,F-C,30,18,2020-12-22
LeBron James,F,28,22,2020-12-22
Marc Gasol,C,12,0,2020-12-22
Dennis Schroder,G,27,14,2020-12-22
K. Caldwell-Pope,G,23,9,2020-12-22
M. Harrell,F-C,32,17,2020-12-22
Kyle Kuzma,F,26,15,2020-12-22
Markieff Morris,F,19,5,2020-12-22
Alex Caruso,G,16,3,2020-12-22
Wesley Matthews,G,11,0,2020-12-22
T. Horton-Tucker,G,10,6,2020-12-22
Quinn Cook,G,1,0,2020-12-22
Devontae Cacok,F,0,0,2020-12-22
K. Antetokounmpo,F,0,0,2020-12-22
A. McKinnie,F,0,0,2020-12-22
Jared Dudley,F,0,0,2020-12-22
Zion Williamson,F,38,32,2020-12-25
Brandon Ingram,F,37,28,2020-12-25
Steven Adams,C,32,6,2020-12-25
Eric Bledsoe,G,33,5,2020-12-25
Lonzo Ball,G,33,6,2020-12-25
Josh Hart,G,28,12,2020-12-25
JJ Redick,G,24,8,2020-12-25
Nicolo Melli,F,9,1,2020-12-25
Jaxson Hayes,C-F,3,0,2020-12-25
Will Magnay,C,0,0,2020-12-25
Wenyen Gabriel,F,0,0,2020-12-25
S. Thornwell,G,0,0,2020-12-25
Naji Marshall,F,0,0,2020-12-25
Kira Lewis,G,0,0,2020-12-25
N. Alexander-Walker,G,0,0,2020-12-25
W. Hernangomez,C-F,0,0,2020-12-25
Bam Adebayo,C-F,28,17,2020-12-25
Jimmy Butler,F,16,4,2020-12-25
Meyers Leonard,F-C,19,9,2020-12-25
Tyler Herro,G,32,11,2020-12-25
Duncan Robinson,F,32,23,2020-12-25
Avery Bradley,G,28,12,2020-12-25
Goran Dragic,G,27,18,2020-12-25
Andre Iguodala,F-G,26,6,2020-12-25
P. Achiuwa,F,19,11,2020-12-25
M. Harkless,F-G,9,0,2020-12-25
Chris Silva,F,0,0,2020-12-25
KZ Okpala,F-G,0,0,2020-12-25
Gabe Vincent,G,0,0,2020-12-25
Kelly Olynyk,F-C,0,0,2020-12-25
Kendrick Nunn,G,0,0,2020-12-25
Udonis Haslem,F,0,0,2020-12-25
Max Strus,G-F,0,0,2020-12-25
Eric Paschall,F,25,7,2020-12-25
Andrew Wiggins,F,24,12,2020-12-25
James Wiseman,C,25,18,2020-12-25
Stephen Curry,G,28,19,2020-12-25
Kelly Oubre,F-G,19,3,2020-12-25
Brad Wanamaker,G,19,11,2020-12-25
Jordan Poole,G,19,11,2020-12-25
Damion Lee,G-F,18,9,2020-12-25
Mychal Mulder,G,17,3,2020-12-25
Marquese Chriss,F,14,4,2020-12-25
J. Toscano-Anderson,F,12,0,2020-12-25
Kevon Looney,F,11,2,2020-12-25
Kent Bazemore,G-F,3,0,2020-12-25
Nico Mannion,G,0,0,2020-12-25
Klay Thompson,G,0,0,2020-12-25
Alen Smailagic,F,0,0,2020-12-25
Draymond Green,F,0,0,2020-12-25
G. Antetokounmpo,F,26,15,2020-12-25
Khris Middleton,F,25,31,2020-12-25
Brook Lopez,C,19,8,2020-12-25
Jrue Holiday,G,25,12,2020-12-25
D. DiVincenzo,G,19,13,2020-12-25
Bobby Portis,F,25,10,2020-12-25
Pat Connaughton,G,18,2,2020-12-25
D.J. Augustin,G,13,13,2020-12-25
D.J. Wilson,F,13,9,2020-12-25
Bryn Forbes,G,13,8,2020-12-25
Jordan Nwora,F,9,7,2020-12-25
T. Antetokounmpo,F,9,4,2020-12-25
Torrey Craig,F,9,0,2020-12-25
Sam Merrill,G,7,6,2020-12-25
Mamadi Diakite,F,0,0,2020-12-25
Jaylen Adams,G,0,0,2020-12-25
Kevin Durant,F,33,29,2020-12-25
Joe Harris,G-F,26,9,2020-12-25
DeAndre Jordan,C,19,4,2020-12-25
Kyrie Irving,G,33,37,2020-12-25
S. Dinwiddie,G,29,6,2020-12-25
Jarrett Allen,C,21,9,2020-12-25
Landry Shamet,G,19,5,2020-12-25
Caris LeVert,G,18,10,2020-12-25
Jeff Green,F,14,2,2020-12-25
Taurean Prince,F,12,5,2020-12-25
T. Luwawu-Cabarrot,G-F,2,4,2020-12-25
Bruce Brown,G-F,2,0,2020-12-25
Tyler Johnson,G,2,3,2020-12-25
Reggie Perry,F-C,2,0,2020-12-25
Rodions Kurucs,F,2,0,2020-12-25
Nicolas Claxton,F-C,0,0,2020-12-25
Chris Chiozza,G,0,0,2020-12-25
T. Thompson,C-F,21,8,2020-12-25
Jayson Tatum,F-G,36,20,2020-12-25
Daniel Theis,F-C,23,2,2020-12-25
Marcus Smart,G,31,13,2020-12-25
Jaylen Brown,G-F,30,27,2020-12-25
P. Pritchard,G,25,7,2020-12-25
Jeff Teague,G,21,0,2020-12-25
Grant Williams,F,18,4,2020-12-25
Semi Ojeleye,F,14,9,2020-12-25
Aaron Nesmith,G-F,8,3,2020-12-25
Javonte Green,G-F,3,2,2020-12-25
Tremont Waters,G,2,0,2020-12-25
Carsen Edwards,G,2,0,2020-12-25
Romeo Langford,G-F,0,0,2020-12-25
Kemba Walker,G,0,0,2020-12-25
Robert Williams,C-F,0,0,2020-12-25
Tacko Fall,C,0,0,2020-12-25
D. Finney-Smith,F,29,10,2020-12-25
Tim Hardaway,G-F,28,10,2020-12-25
Dwight Powell,F-C,23,11,2020-12-25
Luka Doncic,F-G,34,27,2020-12-25
Josh Richardson,G,27,17,2020-12-25
Trey Burke,G,24,17,2020-12-25
Maxi Kleber,F,19,5,2020-12-25
W. Cauley-Stein,C,14,0,2020-12-25
Jalen Brunson,G,13,4,2020-12-25
James Johnson,F,11,4,2020-12-25
B. Marjanovic,C,7,6,2020-12-25
Wes Iwundu,F,2,2,2020-12-25
Josh Green,G,2,0,2020-12-25
Tyrell Terry,G,1,2,2020-12-25
Tyler Bey,F,0,0,2020-12-25
Nate Hinton,G-F,0,0,2020-12-25
K. Porzingis,F-C,0,0,2020-12-25
Anthony Davis,F-C,30,28,2020-12-25
LeBron James,F,31,22,2020-12-25
Marc Gasol,C,19,2,2020-12-25
Dennis Schroder,G,25,18,2020-12-25
K. Caldwell-Pope,G,24,8,2020-12-25
M. Harrell,F-C,28,22,2020-12-25
Kyle Kuzma,F,21,13,2020-12-25
Wesley Matthews,G,16,2,2020-12-25
Markieff Morris,F,15,9,2020-12-25
Alex Caruso,G,13,6,2020-12-25
T. Horton-Tucker,G,6,5,2020-12-25
Jared Dudley,F,2,0,2020-12-25
Quinn Cook,G,2,0,2020-12-25
A. McKinnie,F,2,3,2020-12-25
Devontae Cacok,F,0,0,2020-12-25
K. Antetokounmpo,F,0,0,2020-12-25
Nicolas Batum,G-F,36,13,2020-12-25
Kawhi Leonard,F,30,21,2020-12-25
Serge Ibaka,F,21,15,2020-12-25
P. Beverley,G,21,9,2020-12-25
Paul George,F,36,23,2020-12-25
Lou Williams,G,23,8,2020-12-25
Luke Kennard,G,19,8,2020-12-25
Ivica Zubac,C,19,12,2020-12-25
Reggie Jackson,G,13,5,2020-12-25
P. Patterson,F,11,5,2020-12-25
Terance Mann,G-F,4,2,2020-12-25
M. Kabengele,F-C,0,0,2020-12-25
Amir Coffey,G-F,0,0,2020-12-25
Daniel Oturu,C,0,0,2020-12-25
Jay Scrubb,G,0,0,2020-12-25
Marcus Morris,F,0,0,2020-12-25
Paul Millsap,F,21,8,2020-12-25
Michael Porter,F,23,10,2020-12-25
Nikola Jokic,C,38,24,2020-12-25
Jamal Murray,G,37,23,2020-12-25
Gary Harris,G,22,2,2020-12-25
Monte Morris,G,30,13,2020-12-25
Will Barton,G,28,15,2020-12-25
PJ Dozier,G-F,19,7,2020-12-25
I. Hartenstein,C-F,9,6,2020-12-25
Bol Bol,C-F,5,0,2020-12-25
F. Campazzo,G,3,0,2020-12-25
Markus Howard,G,0,0,2020-12-25
G. Whittington,F,0,0,2020-12-25
JaMychal Green,F-C,0,0,2020-12-25
Vlatko Cancar,F,0,0,2020-12-25
Zeke Nnaji,F-C,0,0,2020-12-25
R.J. Hampton,G,0,0,2020-12-25
De'Andre Hunter,F-G,35,15,2020-12-26
Cam Reddish,F-G,32,5,2020-12-26
John Collins,F-C,27,13,2020-12-26
Trae Young,G,35,36,2020-12-26
B. Bogdanovic,G,32,7,2020-12-26
Kevin Huerter,G-F,26,21,2020-12-26
Bruno Fernando,F-C,17,0,2020-12-26
Solomon Hill,F,12,6,2020-12-26
Brandon Goodwin,G,11,5,2020-12-26
Nathan Knight,F-C,8,14,2020-12-26
Clint Capela,C,0,0,2020-12-26
D. Gallinari,F,0,0,2020-12-26
Kris Dunn,G,0,0,2020-12-26
Tony Snell,G,0,0,2020-12-26
Onyeka Okongwu,F-C,0,0,2020-12-26
Skylar Mays,G,0,0,2020-12-26
Rajon Rondo,G,0,0,2020-12-26
Kyle Anderson,F-G,36,20,2020-12-26
Dillon Brooks,G-F,30,19,2020-12-26
J. Valanciunas,C,28,13,2020-12-26
Ja Morant,G,33,28,2020-12-26
Grayson Allen,G,29,10,2020-12-26
Desmond Bane,G,22,6,2020-12-26
Brandon Clarke,F-G,20,4,2020-12-26
John Konchar,G,15,7,2020-12-26
Tyus Jones,G,15,0,2020-12-26
Gorgui Dieng,C,6,5,2020-12-26
D. Melton,G,0,0,2020-12-26
Jaren Jackson,F-C,0,0,2020-12-26
Killian Tillie,F-C,0,0,2020-12-26
Jontay Porter,C-F,0,0,2020-12-26
Xavier Tillman,F,0,0,2020-12-26
Justise Winslow,F-G,0,0,2020-12-26
Sean McDermott,F,0,0,2020-12-26
Darius Bazley,F-G,32,15,2020-12-26
Luguentz Dort,G,34,15,2020-12-26
Al Horford,C-F,28,3,2020-12-26
George Hill,G,24,21,2020-12-26
S. Gilgeous-Alexander,G-F,34,24,2020-12-26
Theo Maledon,G,20,4,2020-12-26
Hamidou Diallo,G,19,8,2020-12-26
Mike Muscala,F-C,18,14,2020-12-26
K. Williams,G-F,16,5,2020-12-26
A. Pokusevski,C,10,0,2020-12-26
Trevor Ariza,F,0,0,2020-12-26
Ty Jerome,G-F,0,0,2020-12-26
Josh Hall,F,0,0,2020-12-26
Isaiah Roby,F,0,0,2020-12-26
Moses Brown,C,0,0,2020-12-26
Darius Miller,F,0,0,2020-12-26
Justin Jackson,F,0,0,2020-12-26
P.J. Washington,F,29,18,2020-12-26
Gordon Hayward,F,34,12,2020-12-26
Bismack Biyombo,C,30,5,2020-12-26
Devonte' Graham,G,33,14,2020-12-26
Terry Rozier,G,31,19,2020-12-26
Miles Bridges,F,23,14,2020-12-26
Cody Martin,F,16,0,2020-12-26
LaMelo Ball,G,15,13,2020-12-26
Caleb Martin,F,15,10,2020-12-26
Jalen McDaniels,F-C,10,2,2020-12-26
Nate Darling,G,0,0,2020-12-26
Cody Zeller,F-C,0,0,2020-12-26
Grant Riller,G,0,0,2020-12-26
Vernon Carey,F-C,0,0,2020-12-26
Malik Monk,G,0,0,2020-12-26
Nick Richards,C,0,0,2020-12-26
Kevin Love,F-C,37,15,2020-12-26
Isaac Okoro,F-G,41,0,2020-12-26
Andre Drummond,C,43,23,2020-12-26
Darius Garland,G,43,21,2020-12-26
Collin Sexton,G,45,32,2020-12-26
Cedi Osman,F,25,22,2020-12-26
Larry Nance,F-C,24,0,2020-12-26
JaVale McGee,C-F,14,11,2020-12-26
Dante Exum,G,13,4,2020-12-26
M. Dellavedova,G,0,0,2020-12-26
Dylan Windler,G-F,0,0,2020-12-26
Kevin Porter,G-F,0,0,2020-12-26
Lamar Stevens,F,0,0,2020-12-26
Marques Bolden,C,0,0,2020-12-26
Damyean Dotson,G,0,0,2020-12-26
Dean Wade,F-C,0,0,2020-12-26
Thon Maker,F-C,0,0,2020-12-26
Blake Griffin,F,44,26,2020-12-26
Jerami Grant,F,42,28,2020-12-26
Mason Plumlee,F-C,32,6,2020-12-26
Killian Hayes,G,19,3,2020-12-26
Delon Wright,G,42,19,2020-12-26
Derrick Rose,G,33,13,2020-12-26
Svi Mykhailiuk,G-F,23,12,2020-12-26
Jahlil Okafor,C-F,18,6,2020-12-26
Josh Jackson,G-F,18,6,2020-12-26
Sekou Doumbouya,F,8,0,2020-12-26
Saddiq Bey,F,6,0,2020-12-26
Saben Lee,G,0,0,2020-12-26
D. Sirvydis,F-G,0,0,2020-12-26
Wayne Ellington,G,0,0,2020-12-26
Rodney McGruder,G,0,0,2020-12-26
Isaiah Stewart,F-C,0,0,2020-12-26
Aaron Gordon,F,29,15,2020-12-26
Dwayne Bacon,G-F,20,6,2020-12-26
Nikola Vucevic,C,31,22,2020-12-26
Markelle Fultz,G,31,21,2020-12-26
Evan Fournier,G-F,28,13,2020-12-26
Terrence Ross,G-F,28,25,2020-12-26
Chuma Okeke,F,18,3,2020-12-26
M. Carter-Williams,G,18,8,2020-12-26
Khem Birch,C,16,8,2020-12-26
Cole Anthony,G,16,9,2020-12-26
Jonathan Isaac,F,0,0,2020-12-26
James Ennis,F,0,0,2020-12-26
Al-Farouq Aminu,F,0,0,2020-12-26
Gary Clark,F,0,0,2020-12-26
Jordan Bone,G,0,0,2020-12-26
Mo Bamba,C,0,0,2020-12-26
Karim Mane,G,0,0,2020-12-26
Deni Avdija,F,14,5,2020-12-26
Isaac Bonga,G,20,10,2020-12-26
Thomas Bryant,C-F,30,19,2020-12-26
R. Westbrook,G,35,15,2020-12-26
Bradley Beal,G,37,39,2020-12-26
Ish Smith,G,22,8,2020-12-26
Jerome Robinson,G,19,0,2020-12-26
Davis Bertans,F,19,9,2020-12-26
Robin Lopez,C,17,4,2020-12-26
Troy Brown,G-F,13,0,2020-12-26
Raul Neto,G,9,11,2020-12-26
Cassius Winston,G,0,0,2020-12-26
G. Mathews,G,0,0,2020-12-26
Rui Hachimura,F,0,0,2020-12-26
Anthony Gill,F,0,0,2020-12-26
Moritz Wagner,F-C,0,0,2020-12-26
A. Pasecniks,C-F,0,0,2020-12-26
Tobias Harris,F,30,17,2020-12-26
Danny Green,G,28,6,2020-12-26
Joel Embiid,C-F,30,27,2020-12-26
Ben Simmons,G-F,32,15,2020-12-26
Seth Curry,G,29,17,2020-12-26
Shake Milton,G-F,22,10,2020-12-26
Furkan Korkmaz,G-F,18,3,2020-12-26
Mike Scott,F,16,3,2020-12-26
Dwight Howard,C-F,15,9,2020-12-26
Tyrese Maxey,G,8,2,2020-12-26
M. Thybulle,G-F,6,0,2020-12-26
Isaiah Joe,G,0,0,2020-12-26
Tony Bradley,C-F,0,0,2020-12-26
Vincent Poirier,C-F,0,0,2020-12-26
T. Ferguson,G,0,0,2020-12-26
Dakota Mathias,PG,0,0,2020-12-26
Paul Reed,F,0,0,2020-12-26
Julius Randle,F-C,34,25,2020-12-26
Reggie Bullock,G-F,27,6,2020-12-26
M. Robinson,C-F,24,11,2020-12-26
Elfrid Payton,G,18,0,2020-12-26
RJ Barrett,F-G,37,10,2020-12-26
Alec Burks,G,30,22,2020-12-26
Kevin Knox,F,28,7,2020-12-26
Dennis Smith,G,17,4,2020-12-26
Nerlens Noel,C-F,15,4,2020-12-26
Frank Ntilikina,G,2,0,2020-12-26
Theo Pinson,G-F,2,0,2020-12-26
Jared Harper,G,0,0,2020-12-26
I. Quickley,G,0,0,2020-12-26
I. Brazdeikis,F,0,0,2020-12-26
Obi Toppin,F,0,0,2020-12-26
Austin Rivers,G,0,0,2020-12-26
Omari Spellman,F,0,0,2020-12-26
D. Sabonis,F-C,33,22,2020-12-26
T.J. Warren,F,26,23,2020-12-26
Myles Turner,C-F,25,9,2020-12-26
Malcolm Brogdon,G,28,18,2020-12-26
Victor Oladipo,G,25,22,2020-12-26
Justin Holiday,F-G,31,5,2020-12-26
Doug McDermott,F,22,12,2020-12-26
T.J. McConnell,G,19,4,2020-12-26
Aaron Holiday,G,18,6,2020-12-26
Kelan Martin,F,2,2,2020-12-26
Jalen Lecque,G,2,0,2020-12-26
JaKarr Sampson,F,2,0,2020-12-26
Cassius Stanley,G,2,2,2020-12-26
Brian Bowen,F-G,0,0,2020-12-26
Goga Bitadze,C-F,0,0,2020-12-26
Edmond Sumner,G,0,0,2020-12-26
Jeremy Lamb,G-F,0,0,2020-12-26
Lauri Markkanen,F-C,27,16,2020-12-26
P. Williams,F,22,9,2020-12-26
Wendell Carter,C-F,27,9,2020-12-26
Coby White,G,24,12,2020-12-26
Zach LaVine,G-F,28,17,2020-12-26
T. Satoransky,G,24,6,2020-12-26
Otto Porter,F,19,10,2020-12-26
Garrett Temple,G-F,19,6,2020-12-26
D. Valentine,G,12,11,2020-12-26
Daniel Gafford,F-C,11,3,2020-12-26
R. Arcidiacono,G,8,5,2020-12-26
C. Hutchison,F-G,7,2,2020-12-26
Adam Mokoka,G,4,0,2020-12-26
Devon Dotson,G,0,0,2020-12-26
Thaddeus Young,F,0,0,2020-12-26
Luke Kornet,F-C,0,0,2020-12-26
C. Felicio,F-C,0,0,2020-12-26
Pascal Siakam,F,43,16,2020-12-26
OG Anunoby,F,35,10,2020-12-26
Aron Baynes,C-F,19,13,2020-12-26
Kyle Lowry,G,35,16,2020-12-26
Fred VanVleet,G,35,27,2020-12-26
Chris Boucher,F-C,28,22,2020-12-26
Matt Thomas,G,18,8,2020-12-26
Norman Powell,G,17,0,2020-12-26
DeAndre' Bembry,G-F,5,2,2020-12-26
Patrick McCaw,G,0,0,2020-12-26
Malachi Flynn,G,0,0,2020-12-26
Alex Len,C,0,0,2020-12-26
Yuta Watanabe,G-F,0,0,2020-12-26
Stanley Johnson,F-G,0,0,2020-12-26
Terence Davis,G,0,0,2020-12-26
Paul Watson,G,0,0,2020-12-26
Jalen Harris,G,0,0,2020-12-26
DeMar DeRozan,G-F,36,27,2020-12-26
Keldon Johnson,F-G,28,12,2020-12-26
L. Aldridge,C-F,28,12,2020-12-26
Dejounte Murray,G,29,11,2020-12-26
Lonnie Walker,G-F,24,14,2020-12-26
Patty Mills,G,29,21,2020-12-26
Rudy Gay,F-G,27,8,2020-12-26
Jakob Poeltl,C,18,4,2020-12-26
Devin Vassell,G-F,11,7,2020-12-26
Trey Lyles,F,4,3,2020-12-26
Q. Weatherspoon,G,0,0,2020-12-26
Derrick White,G,0,0,2020-12-26
Drew Eubanks,F-C,0,0,2020-12-26
K. Bates-Diop,F,0,0,2020-12-26
Tre Jones,G,0,0,2020-12-26
Luka Samanic,F,0,0,2020-12-26
Jake Layman,F,13,0,2020-12-26
Josh Okogie,G,31,8,2020-12-26
K. Towns,C-F,29,16,2020-12-26
D. Russell,G,34,25,2020-12-26
Malik Beasley,G,38,18,2020-12-26
Ricky Rubio,G,26,9,2020-12-26
Anthony Edwards,G,22,18,2020-12-26
Jarrett Culver,G-F,19,14,2020-12-26
Naz Reid,C-F,17,8,2020-12-26
J. Hernangomez,F,5,0,2020-12-26
Ed Davis,C-F,0,0,2020-12-26
Ashton Hagans,G-F,0,0,2020-12-26
J. McLaughlin,G,0,0,2020-12-26
Jaylen Nowell,G,0,0,2020-12-26
J. Vanderbilt,F,0,0,2020-12-26
Jaden McDaniels,F,0,0,2020-12-26
Royce O'Neale,F,34,5,2020-12-26
B. Bogdanovic,F,34,9,2020-12-26
Rudy Gobert,C,29,18,2020-12-26
Mike Conley,G,33,20,2020-12-26
D. Mitchell,G,37,21,2020-12-26
Joe Ingles,F-G,25,10,2020-12-26
Jordan Clarkson,G,23,23,2020-12-26
Derrick Favors,F,17,5,2020-12-26
Georges Niang,F,4,0,2020-12-26
Juwan Morgan,F,1,0,2020-12-26
J. Brantley,F,0,0,2020-12-26
Trent Forrest,G,0,0,2020-12-26
Miye Oni,G-F,0,0,2020-12-26
S. Harrison,G,0,0,2020-12-26
Udoka Azubuike,C-F,0,0,2020-12-26
Elijah Hughes,G,0,0,2020-12-26
Jae Crowder,F,32,17,2020-12-26
Mikal Bridges,F,26,9,2020-12-26
Deandre Ayton,C,29,9,2020-12-26
Chris Paul,G,32,22,2020-12-26
Devin Booker,G,38,26,2020-12-26
Cameron Johnson,F,25,8,2020-12-26
Damian Jones,C,15,2,2020-12-26
Cameron Payne,G,15,8,2020-12-26
L. Galloway,G,9,0,2020-12-26
Jevon Carter,G,7,2,2020-12-26
Jalen Smith,F-C,4,0,2020-12-26
Frank Kaminsky,F-C,2,0,2020-12-26
Abdel Nader,F,0,0,2020-12-26
Dario Saric,F-C,0,0,2020-12-26
T. Alexander,G,0,0,2020-12-26
E'Twaun Moore,G,0,0,2020-12-26
Marvin Bagley,F,20,13,2020-12-26
Harrison Barnes,F,34,11,2020-12-26
Richaun Holmes,F,24,11,2020-12-26
De'Aaron Fox,G,34,24,2020-12-26
Buddy Hield,G,34,14,2020-12-26
T. Haliburton,G,26,2,2020-12-26
Cory Joseph,G,19,3,2020-12-26
Glenn Robinson,F,15,8,2020-12-26
H. Whiteside,C,15,8,2020-12-26
Nemanja Bjelica,F,15,12,2020-12-26
DaQuan Jeffries,G-F,0,0,2020-12-26
Justin James,G-F,0,0,2020-12-26
Robert Woodard,F,0,0,2020-12-26
Kyle Guy,G,0,0,2020-12-26
Jahmi'us Ramsey,G,0,0,2020-12-26
Jabari Parker,F,0,0,2020-12-26
Chimezie Metu,F-C,0,0,2020-12-26
Danuel House,F-G,38,11,2020-12-26
P.J. Tucker,F,42,7,2020-12-26
Christian Wood,F,43,31,2020-12-26
James Harden,G,43,44,2020-12-26
David Nwaba,G-F,26,10,2020-12-26
Jae'Sean Tate,F,37,13,2020-12-26
Sterling Brown,G-F,20,10,2020-12-26
Brodric Thomas,G,9,0,2020-12-26
Bruno Caboclo,F,3,0,2020-12-26
Ben McLemore,G,0,0,2020-12-26
Kenyon Martin,F,0,0,2020-12-26
D. Cousins,C,0,0,2020-12-26
Chris Clemons,G,0,0,2020-12-26
Mason Jones,G,0,0,2020-12-26
Eric Gordon,G,0,0,2020-12-26
John Wall,G,0,0,2020-12-26
R. Covington,F,38,9,2020-12-26
Derrick Jones,F,36,6,2020-12-26
Jusuf Nurkic,C,34,12,2020-12-26
Damian Lillard,G,41,32,2020-12-26
CJ McCollum,G,43,44,2020-12-26
Carmelo Anthony,F,20,5,2020-12-26
Enes Kanter,C,18,10,2020-12-26
Rodney Hood,G-F,15,3,2020-12-26
Anfernee Simons,G,9,7,2020-12-26
Gary Trent,G-F,5,0,2020-12-26
Nassir Little,F-G,0,0,2020-12-26
Zach Collins,F-C,0,0,2020-12-26
Keljin Blevins,G,0,0,2020-12-26
CJ Elleby,F-G,0,0,2020-12-26
Harry Giles,F-C,0,0,2020-12-26
Kevin Durant,F,36,29,2020-12-27
Joe Harris,G-F,32,13,2020-12-27
DeAndre Jordan,C,18,1,2020-12-27
Kyrie Irving,G,36,25,2020-12-27
S. Dinwiddie,G,15,5,2020-12-27
Jarrett Allen,C,25,8,2020-12-27
Caris LeVert,G,25,10,2020-12-27
Landry Shamet,G,13,0,2020-12-27
T. Luwawu-Cabarrot,G-F,12,11,2020-12-27
Jeff Green,F,12,0,2020-12-27
Taurean Prince,F,11,2,2020-12-27
Chris Chiozza,G,0,0,2020-12-27
Nicolas Claxton,F-C,0,0,2020-12-27
Tyler Johnson,G,0,0,2020-12-27
Reggie Perry,F-C,0,0,2020-12-27
Rodions Kurucs,F,0,0,2020-12-27
Bruce Brown,G-F,0,0,2020-12-27
P.J. Washington,F,34,14,2020-12-27
Gordon Hayward,F,35,28,2020-12-27
Bismack Biyombo,C,29,12,2020-12-27
Devonte' Graham,G,35,13,2020-12-27
Terry Rozier,G,30,19,2020-12-27
Miles Bridges,F,27,10,2020-12-27
LaMelo Ball,G,20,6,2020-12-27
Cody Martin,F,17,4,2020-12-27
Jalen McDaniels,F-C,4,0,2020-12-27
Caleb Martin,F,4,0,2020-12-27
Grant Riller,G,0,0,2020-12-27
Nate Darling,G,0,0,2020-12-27
Cody Zeller,F-C,0,0,2020-12-27
Malik Monk,G,0,0,2020-12-27
Nick Richards,C,0,0,2020-12-27
Vernon Carey,F-C,0,0,2020-12-27
DeMar DeRozan,G-F,31,8,2020-12-27
Keldon Johnson,F-G,30,14,2020-12-27
L. Aldridge,C-F,20,4,2020-12-27
Dejounte Murray,G,31,13,2020-12-27
Lonnie Walker,G-F,34,16,2020-12-27
Rudy Gay,F-G,28,22,2020-12-27
Jakob Poeltl,C,23,8,2020-12-27
Patty Mills,G,23,10,2020-12-27
Devin Vassell,G-F,12,0,2020-12-27
Trey Lyles,F,6,0,2020-12-27
Derrick White,G,0,0,2020-12-27
Q. Weatherspoon,G,0,0,2020-12-27
Drew Eubanks,F-C,0,0,2020-12-27
Tre Jones,G,0,0,2020-12-27
K. Bates-Diop,F,0,0,2020-12-27
Luka Samanic,F,0,0,2020-12-27
Zion Williamson,F,38,18,2020-12-27
Brandon Ingram,F,35,28,2020-12-27
Steven Adams,C,30,8,2020-12-27
Lonzo Ball,G,37,16,2020-12-27
Eric Bledsoe,G,28,7,2020-12-27
Josh Hart,G,32,12,2020-12-27
JJ Redick,G,19,3,2020-12-27
Jaxson Hayes,C-F,17,6,2020-12-27
Will Magnay,C,0,0,2020-12-27
Wenyen Gabriel,F,0,0,2020-12-27
N. Alexander-Walker,G,0,0,2020-12-27
S. Thornwell,G,0,0,2020-12-27
Nicolo Melli,F,0,0,2020-12-27
Naji Marshall,F,0,0,2020-12-27
W. Hernangomez,C-F,0,0,2020-12-27
Kira Lewis,G,0,0,2020-12-27
Aaron Gordon,F,19,4,2020-12-27
Dwayne Bacon,G-F,17,6,2020-12-27
Nikola Vucevic,C,28,15,2020-12-27
Markelle Fultz,G,29,26,2020-12-27
Evan Fournier,G-F,27,19,2020-12-27
Terrence Ross,G-F,30,26,2020-12-27
M. Carter-Williams,G,23,6,2020-12-27
Khem Birch,C,19,6,2020-12-27
