team,name,position,passing,rushing,receiving,date
LAC,Tyrod Taylor,QB,208,7,0,2020-09-10
LAC,Austin Ekeler,RB,0,84,3,2020-09-10
LAC,Hunter Henry,TE,0,0,73,2020-09-10
LAC,Mike Williams,WR,0,0,69,2020-09-10
LAC,Keenan Allen,WR,0,0,37,2020-09-10
LAC,Jalen Guyton,WR,0,0,16,2020-09-10
CIN,Joe Burrow,QB,193,46,0,2020-09-10
CIN,Joe Mixon,HB,0,69,2,2020-09-10
CIN,A.J. Green,WR,0,0,51,2020-09-10
CIN,C.J. Uzomah,TE,0,0,45,2020-09-10
CIN,Tyler Boyd,WR,0,0,33,2020-09-10
CIN,John Ross,WR,0,0,17,2020-09-10
TAM,Tom Brady,QB,239,9,0,2020-09-10
TAM,Ronald Jones II,RB,0,66,16,2020-09-10
TAM,Scott Miller,WR,0,6,73,2020-09-10
TAM,Chris Godwin,WR,0,0,79,2020-09-10
TAM,Rob Gronkowski,TE,0,0,11,2020-09-10
TAM,Mike Evans,WR,0,0,2,2020-09-10
NOR,Drew Brees,QB,160,0,0,2020-09-10
NOR,Taysom Hill,QB,38,13,14,2020-09-10
NOR,Alvin Kamara,RB,0,16,51,2020-09-10
NOR,Michael Thomas,WR,0,0,17,2020-09-10
NOR,Tre'Quan Smith,WR,0,0,4,2020-09-10
NOR,Josh Hill,TE,0,0,0,2020-09-10
ARI,Kyler Murray,QB,230,91,0,2020-09-10
ARI,Kenyan Drake,RB,0,60,5,2020-09-10
ARI,DeAndre Hopkins,WR,0,0,151,2020-09-10
ARI,Larry Fitzgerald,WR,0,0,34,2020-09-10
ARI,Dan Arnold,WR,0,0,21,2020-09-10
ARI,Christian Kirk,WR,0,0,0,2020-09-10
SFO,Jimmy Garoppolo,QB,259,9,0,2020-09-10
SFO,Raheem Mostert,RB,0,56,95,2020-09-10
SFO,George Kittle,TE,0,9,44,2020-09-10
SFO,Kyle Juszczyk,RB,0,7,41,2020-09-10
SFO,Kendrick Bourne,WR,0,0,34,2020-09-10
SFO,Dante Pettis,WR,0,0,0,2020-09-10
DAL,Dak Prescott,QB,266,30,0,2020-09-10
DAL,Ezekiel Elliott,RB,0,96,31,2020-09-10
DAL,Amari Cooper,WR,0,0,81,2020-09-10
DAL,CeeDee Lamb,WR,0,0,59,2020-09-10
DAL,Michael Gallup,WR,0,0,50,2020-09-10
DAL,Blake Jarwin,TE,0,0,12,2020-09-10
LAR,Jared Goff,QB,275,15,0,2020-09-10
LAR,Cam Akers,RB,0,39,4,2020-09-10
LAR,Robert Woods,WR,0,14,105,2020-09-10
LAR,Tyler Higbee,TE,0,0,40,2020-09-10
LAR,Josh Reynolds,WR,0,0,17,2020-09-10
LAR,Gerald Everett,TE,0,0,7,2020-09-10
PIT,Ben Roethlisberger,QB,229,9,0,2020-09-10
PIT,James Conner,RB,0,9,8,2020-09-10
PIT,JuJu Smith-Schuster,WR,0,0,69,2020-09-10
PIT,Diontae Johnson,WR,0,0,57,2020-09-10
PIT,James Washington,WR,0,0,34,2020-09-10
PIT,Vance McDonald,TE,0,0,3,2020-09-10
NYG,Daniel Jones,QB,279,22,0,2020-09-10
NYG,Saquon Barkley,RB,0,6,60,2020-09-10
NYG,Sterling Shepard,WR,0,0,47,2020-09-10
NYG,Kaden Smith,TE,0,0,17,2020-09-10
NYG,Levine Toilolo,TE,0,0,13,2020-09-10
